ID,성별,나이,키 ,몸무게 ,BMI
20_여자_2365,여자,36,1590,51.8,
20_여자_2366,여자,35,1702,55,
20_여자_2367,여자,41,1676,47.4,
20_여자_2368,여자,40,1549,46.8,
20_여자_2369,여자,38,1601,50.2,
20_여자_2370,여자,25,1605,67.7,
20_여자_2371,여자,41,1529,56.2,
20_여자_2372,여자,23,1661,65,
20_여자_2373,여자,35,1563,51.8,
20_여자_2374,여자,25,1644,52.2,
20_여자_2375,여자,32,1649,64.9,
20_여자_2376,여자,31,1615,46.1,
20_여자_2377,여자,35,1626,57.6,
20_여자_2378,여자,31,1629,53.9,
20_여자_2379,여자,38,1611,52.4,
20_여자_2380,여자,38,1548,46.2,
20_여자_2381,여자,35,1626,47.3,
20_여자_2382,여자,37,1682,57.4,
20_여자_2383,여자,28,1603,42.6,
20_여자_2384,여자,33,1650,61,
20_여자_2385,여자,29,1648,57.2,
20_여자_2386,여자,31,1615,53.6,
20_여자_2387,여자,36,1681,82.4,
20_여자_2388,여자,21,1606,54.6,
20_여자_2389,여자,21,1628,55.8,
20_여자_2390,여자,21,1559,48.7,
20_여자_2391,여자,34,1644,53.4,
20_여자_2392,여자,37,1621,53.9,
20_여자_2393,여자,35,1649,73.1,
20_여자_2394,여자,32,1661,60.6,
20_여자_2395,여자,24,1614,42,
20_여자_2396,여자,28,1558,47.9,
20_여자_2397,여자,31,1625,70.8,
20_여자_2398,여자,25,1549,53.4,
20_여자_2399,여자,34,1684,48.3,
20_여자_2400,여자,37,1565,43.9,
20_여자_2401,여자,26,1628,49.2,
20_여자_2402,여자,26,1576,66.4,
20_남자_2403,남자,23,1786,73.7,
20_남자_2404,남자,31,1746,78.1,
20_남자_2405,남자,24,1693,67.2,
20_남자_2406,남자,24,1790,67.2,
20_남자_2407,남자,39,1811,80.7,
20_남자_2408,남자,21,1694,75.3,
20_남자_2409,남자,21,1764,71.4,
20_남자_2410,남자,28,1670,75.1,
20_남자_2411,남자,24,1672,65.8,
20_남자_2412,남자,40,1887,130,
20_남자_2413,남자,35,1716,82.5,
20_남자_2414,남자,34,1720,70.1,
20_남자_2415,남자,43,1762,117.5,
20_남자_2416,남자,44,1751,73.8,
