ID,성별,나이,키,몸무게,BMI
5_000456,남,2.4,903,13.8,
5_000457,남,2.4,900,12.6,
5_000458,남,2.4,914,14.6,
5_000459,남,2.4,938,14.2,
5_000460,남,2.5,897,11.7,
5_000461,남,2.5,908,14.7,
5_000462,남,2.5,913,13.5,
5_000463,남,2.5,959,15.8,
5_000464,남,2.5,900,14.2,
5_000465,남,2.5,892,13.1,
5_000466,남,2.5,889,12.1,
5_000467,남,2.5,876,12.7,
5_000468,남,2.5,913,13.9,
5_000469,남,2.5,960,14.5,
5_000470,남,2.5,915,12.6,
5_000471,남,2.5,925,12.5,
5_000472,남,2.5,948,13.4,
5_000473,남,2.5,925,14.6,
5_000474,남,2.6,930,14.8,
5_000475,남,2.6,972,16.6,
5_000476,남,2.6,974,15.4,
5_000477,남,2.6,849.2028984,12.5,
5_000478,남,2.6,875,13.4,
5_000479,남,2.6,897,12.4,
5_000480,남,2.6,932,13.6,
5_000481,남,2.6,917,14.6,
5_000482,남,2.6,913,14,
5_000483,남,2.6,950,16.1,
5_000484,남,2.6,977,14.5,
5_000485,남,2.6,879,15,
5_000486,남,2.6,937,14.1,
5_000487,남,2.6,950,13.7,
5_000488,남,2.6,940,14.3,
5_000489,남,2.6,911,14.8,
5_000490,남,2.6,978,13.6,
5_000491,남,2.6,941,14,
5_000492,남,2.6,940,14.7,
5_000493,남,2.6,953,14.4,
5_000494,남,2.6,912,13.4,
5_000495,남,2.7,913,14,
5_000496,남,2.7,945,14.1,
5_000497,남,2.7,893,13.9,
5_000498,남,2.7,960,14.4,
5_000499,남,2.7,938,17.1,
5_000500,남,2.7,980,16.3,
5_000501,남,2.7,1000,16.2,
5_000502,남,2.7,902,13.2,
5_000503,남,2.7,968,14.6,
5_000504,남,2.7,926,15,
5_000505,남,2.7,884,12.2,
5_000506,남,2.7,892,11.7,
5_000507,남,2.7,958,14.9,
5_000508,남,2.7,942,14.8,
5_000509,남,2.7,921,13.9,
5_000510,남,2.7,955,15.9,
5_000511,남,2.7,928,13.5,
5_000512,남,2.8,900,12.5,
5_000513,남,2.8,936,14.7,
5_000514,남,2.8,931,13.2,
5_000515,남,2.8,977,15,
5_000516,남,2.8,920,17.6,
5_000517,남,2.8,910,14,
5_000518,남,2.8,934,12.8,
5_000519,남,2.8,936,15.8,
5_000520,남,2.8,941,12.6,
5_000521,남,2.8,910,13.1,
5_000522,남,2.8,952,13.1,
5_000523,남,2.8,887,13.6,
5_000524,남,2.8,918,14.4,
5_000525,남,2.8,947,14.7,
5_000526,남,2.8,927,14,
5_000527,남,2.8,897,13.3,
5_000528,남,2.8,932,13.6,
5_000529,남,2.9,927,15.7,
5_000530,남,2.9,964,15.8,
5_000531,남,2.9,941,13.4,
5_000532,남,2.9,924,13.8,
5_000533,남,2.9,917,13.5,
5_000534,남,2.9,967,15.7,
5_000535,남,2.9,942,13.6,
5_000536,남,2.9,937,14.4,
5_000537,남,2.9,929,13.5,
5_000538,남,2.9,992,16.2,
5_000539,남,2.9,978,15.6,
5_000540,남,2.9,888,12.9,
5_000541,남,2.9,918,13.4,
5_000542,남,2.9,923,12.4,
5_000543,남,2.9,931,13.8,
5_000544,남,2.9,943,13.3,
5_000545,남,2.9,919,12.2,
5_000546,남,2.9,951,14.7,
5_000547,남,2.9,945,16.4,
5_000548,남,2.9,950,15,
5_000549,남,2.9,986,15.3,
5_000550,남,3,983,16.2,
5_000551,남,3,926,11.1,
5_000552,남,3,1013,16.8,
5_000553,남,3,1017,17.99987582,
5_000554,남,3,964,18.1,
5_000555,남,3,885,13.2,
5_000556,남,3,1049,16.9,
5_000557,남,3,970,14.9,
5_000558,남,3,895,13,
5_000559,남,3,856,11.8,
5_000560,남,3,942,13.8,
5_000561,남,3,953,15.9,
5_000562,남,3,894,14,
5_000563,남,3,923,14.2,
5_000564,남,3,913,12,
5_000565,남,3,943,15.2,
5_000566,남,3,940,17.1,
5_000567,남,3,906,13.9,
5_000568,남,3,985,14.8,
5_000569,남,3,980,16.5,
5_000570,남,3,955,14.7,
5_000571,남,3,948,14.4,
5_000572,남,3,894,11.7,
5_000573,남,3,1004,16.6,
5_000574,남,3,932,12.5,
5_000575,남,3,953,15.5,
5_000576,남,3.1,968,14.9,
5_000577,남,3.1,940,16,
5_000578,남,3.1,974,15.1,
5_000579,남,3.1,928,13.3,
5_000580,남,3.1,1032,16.6,
5_000581,남,3.1,985,15,
5_000582,남,3.1,981,16.7,
5_000583,남,3.1,987,15.9,
5_000584,남,3.1,902,13.1,
5_000585,남,3.1,968,15.4,
5_000586,남,3.1,943,13.8,
5_000587,남,3.1,994,16.1,
5_000588,남,3.1,968,14.9,
5_000589,남,3.1,935,14.6,
5_000590,남,3.1,960,15.3,
5_000591,남,3.1,986,16.3,
5_000592,남,3.1,954,14.3,
5_000593,남,3.1,993,18.7,
5_000594,남,3.1,938,13.6,
5_000595,남,3.1,963,15.1,
5_000596,남,3.1,1043,15.5,
5_000597,남,3.1,957,14.5,
5_000598,남,3.1,1000,14.7,
5_000599,남,3.1,937,13.9,
5_000600,남,3.1,967,14.8,
5_000601,남,3.1,997,17.2,
5_000602,남,3.1,943,13.2,
5_000603,남,3.2,945,14.9,
5_000604,남,3.2,928,11.2,
5_000605,남,3.2,1013,18.9,
5_000606,남,3.2,975,15.2,
5_000607,남,3.2,930,16.4,
5_000608,남,3.2,955,14.4,
5_000609,남,3.2,913,14,
5_000610,남,3.2,989,14.3,
5_000611,남,3.2,935,13.7,
5_000612,남,3.2,967,15.9,
5_000613,남,3.2,980,15.9,
5_000614,남,3.2,960,14.2,
5_000615,남,3.2,1008,17.7,
5_000616,남,3.2,988,16.3,
5_000617,남,3.2,891,14,
5_000618,남,3.2,968,15.1,
5_000619,남,3.2,963,15.3,
5_000620,남,3.2,948,16.9,
5_000621,남,3.3,983,14.7,
5_000622,남,3.3,986,15.3,
5_000623,남,3.3,1028,17.4,
5_000624,남,3.3,1013,16.2,
5_000625,남,3.3,961,16,
5_000626,남,3.3,994,14.7,
5_000627,남,3.3,943,15.2,
5_000628,남,3.3,989,13.7,
5_000629,남,3.3,968,16.3,
5_000630,남,3.3,948,15.6,
5_000631,남,3.3,942,14.2,
5_000632,남,3.3,933,15.8,
5_000633,남,3.3,987,16.5,
5_000634,남,3.3,1038,18,
5_000635,남,3.3,935,16.6,
5_000636,남,3.3,928,14.1,
5_000637,남,3.3,980,14.7,
5_000638,남,3.3,1005,14.2,
5_000639,남,3.3,997,15.2,
5_000640,남,3.3,1004,15.1,
5_000641,남,3.3,976,14.1,
5_000642,남,3.3,953,14.2,
5_000643,남,3.3,960,12.4,
5_000644,남,3.4,972,15.6,
5_000645,남,3.4,1020,18.65743431,
5_000646,남,3.4,996,17.7,
5_000647,남,3.4,920,14.9,
5_000648,남,3.4,995,17.1,
5_000649,남,3.4,1010,16.6,
5_000650,남,3.4,960,15.3,
5_000651,남,3.4,998,17.3,
5_000652,남,3.4,1054,19.4,
5_000653,남,3.4,960,11.4,
5_000654,남,3.4,939,14.4,
5_000655,남,3.4,952,12.4,
5_000656,남,3.4,990,15.8,
5_000657,남,3.4,960,14.8,
5_000658,남,3.4,1037,17.1,
5_000659,남,3.4,955,14.6,
5_000660,남,3.4,1040,16.2,
5_000661,남,3.4,971,14.4,
5_000662,남,3.4,940,15,
5_000663,남,3.4,987,15.5,
5_000664,남,3.4,1010,15.9,
5_000665,남,3.4,927,14.2,
5_000666,남,3.4,1068,17.2,
5_000667,남,3.4,945,14,
5_000668,남,3.4,1010,16.6,
5_000669,남,3.4,1045,16.9,
5_000670,남,3.5,1113,21,
5_000671,남,3.5,998,14.8,
5_000672,남,3.5,1018,16.6,
5_000673,남,3.5,1005,15,
5_000674,남,3.5,1024,15.2,
5_000675,남,3.5,1002,17.1,
5_000676,남,3.5,987,16.5,
5_000677,남,3.5,1050,16.6,
5_000678,남,3.5,984,14.6,
5_000679,남,3.5,1083,16.6,
5_000680,남,3.5,996,14.7,
5_000681,남,3.5,994,14.3,
5_000682,남,3.5,1024,17,
5_000683,남,3.5,994,14.7,
5_000684,남,3.5,1027,16.1,
5_000685,남,3.5,970,14.7,
5_000686,남,3.5,1075,22.5829542,
5_000687,남,3.5,974,13.2,
5_000688,남,3.5,964,14.3,
5_000689,남,3.5,982,14.9,
5_000690,남,3.5,1006,15.3,
5_000691,남,3.5,974,15.7,
5_000692,남,3.5,1062,18.7,
5_000693,남,3.5,1000,14.6,
5_000694,남,3.5,1029,15.4,
5_000695,남,3.5,978,14.7,
5_000696,남,3.5,949,14.8,
5_000697,남,3.5,973,14.3,
5_000698,남,3.6,985,16,
5_000699,남,3.6,1035,16.1,
5_000700,남,3.6,1018,17.2,
5_000701,남,3.6,1048,17.3,
5_000702,남,3.6,931,14.6,
5_000703,남,3.6,920,14.3,
5_000704,남,3.6,1007,16.3,
5_000705,남,3.6,1003,16.3,
5_000706,남,3.6,990,14.3,
5_000707,남,3.6,978,14.7,
5_000708,남,3.6,992,16.1,
5_000709,남,3.6,990,18.3,
5_000710,남,3.6,986,15.2,
5_000711,남,3.6,1050,20.6,
5_000712,남,3.6,1030,15.8,
5_000713,남,3.6,985,15.1,
5_000714,남,3.6,1003,15,
5_000715,남,3.6,1015,16.5,
5_000716,남,3.6,994,16.3,
5_000717,남,3.6,1055,18,
5_000718,남,3.6,1003,15.4,
5_000719,남,3.7,960,12.9,
5_000720,남,3.7,944,12.3,
5_000721,남,3.7,966,15.1,
5_000722,남,3.7,998,16.1,
5_000723,남,3.7,1065,18.1,
5_000724,남,3.7,956,13.9,
5_000725,남,3.7,1051,21,
5_000726,남,3.7,1051,16.2,
5_000727,남,3.7,1015,16.1,
5_000728,남,3.7,970,16.9,
5_000729,남,3.7,1030,16.8,
5_000730,남,3.7,1002,16.2,
5_000731,남,3.7,1000,15.9,
5_000732,남,3.7,970,15.6,
5_000733,남,3.8,1000,15.1,
5_000734,남,3.8,976,15,
5_000735,남,3.8,952,13.5,
5_000736,남,3.8,1024,18.5,
5_000737,남,3.8,1054,16.6,
5_000738,남,3.8,1030,16.9,
5_000739,남,3.8,1054,22.6,
5_000740,남,3.8,988,13.4,
5_000741,남,3.8,1064,17.2,
5_000742,남,3.8,939,13,
5_000743,남,3.8,1033,17.6,
5_000744,남,3.8,973,15.6,
5_000745,남,3.8,1008,16,
5_000746,남,3.8,1044,16.9,
5_000747,남,3.8,940,13.5,
5_000748,남,3.8,990,15.3,
5_000749,남,3.8,1034,18.6,
5_000750,남,3.8,1014.05348,17.9,
5_000751,남,3.8,1023,17.5,
5_000752,남,3.8,1010,14.9,
5_000753,남,3.8,1030,17,
5_000754,남,3.8,921,12.1,
5_000755,남,3.8,1020,18.7,
5_000756,남,3.8,1012,15,
5_000757,남,3.9,1040,17.3,
5_000758,남,3.9,1054,16.8,
5_000759,남,3.9,1073,18.6,
5_000760,남,3.9,987,16.3,
5_000761,남,3.9,1003,16.4,
5_000762,남,3.9,1002,16.1,
5_000763,남,3.9,1034,16.7,
5_000764,남,3.9,1041,19.1,
5_000765,남,3.9,960,15.6,
5_000766,남,3.9,1004,15.7,
5_000767,남,3.9,1033,23,
5_000768,남,3.9,994,16.5,
5_000769,남,3.9,1023,17.1,
5_000770,남,3.9,1100,18.9,
5_000771,남,3.9,1009,18,
5_000772,남,3.9,1025,16.5,
5_000773,남,3.9,1055,18.8,
5_000774,남,3.9,1005,16,
5_000775,남,4,1001,15.5,
5_000776,남,4,1073,17.4,
5_000777,남,4,948,14.3,
5_000778,남,4,1022,16.4,
5_000779,남,4,1014,15.4,
5_000780,남,4,1045,16,
5_000781,남,4,1028,17,
