ID,성별,나이,키,몸무게,BMI
762,남자,4,1030,170,
763,남자,4,1069,185,
764,남자,4,1048,180,
765,남자,4,1054,160,
766,남자,4,1078,180,
767,남자,4,1042,190,
768,남자,4,1058,170,
769,남자,4,1061,180,
770,남자,4,1095,210,
771,남자,4,1034,170,
772,남자,4,1084,175,
773,남자,4,1036,150,
774,남자,4,1094,175,
775,남자,4,1049,175,
776,남자,4,1078,160,
777,남자,4,1048,180,
778,남자,4,1039,145,
779,남자,4,1075,175,
780,남자,4,1114,205,
781,남자,4,1054,195,
782,남자,4,986,140,
783,남자,4,1111,190,
784,남자,4,1041,175,
785,남자,4,1098,200,
786,남자,4,999,170,
787,남자,4,1049,180,
788,남자,4,1039,180,
789,남자,4,1038,160,
790,남자,4,1032,155,
791,남자,4,972,160,
792,남자,4,1056,175,
793,남자,4,1038,150,
794,남자,4,982,140,
795,남자,4,1074,180,
796,남자,4,985,155,
797,남자,4,952,135,
798,남자,4,1032,160,
799,남자,4,1022,170,
800,남자,4,1071,180,
801,남자,4,1106,180,
802,남자,4,1014,140,
803,남자,4,1054,180,
804,남자,4,1030,150,
805,남자,4,1052,180,
806,남자,4,1080,190,
807,남자,4,975,145,
808,남자,4,1060,170,
809,남자,4,995,140,
810,남자,4,1032,160,
811,남자,4,1051,170,
812,남자,4,1080,175,
813,남자,4,1053,160,
814,남자,4,1031,150,
815,남자,4,1046,175,
816,남자,4,1032,165,
817,남자,4,1143.486921,219.5604201,
818,남자,4,960,130,
819,남자,4,1094,180,
820,남자,4,1092,170,
821,남자,4,1013,210,
822,남자,4,1062,180,
823,남자,4,1027,175,
824,남자,4,1012,170,
825,남자,4,1047,150,
826,남자,4,1030,140,
827,남자,4,983,165,
828,남자,4,1011,150,
829,남자,4,1011,180,
830,남자,4,1090,170,
831,남자,4,1042,165,
832,남자,4,1042,160,
833,남자,4,970,140,
834,남자,4,1114,175,
835,남자,4,1073,175,
836,남자,4,1028,150,
837,남자,4,1057,200,
838,남자,4,1114,180,
839,남자,4,1032,140,
840,남자,4,1092,205,
841,남자,4,948.7615957,150,
842,남자,4,991,140,
843,남자,4,1011,165,
844,남자,4,1082,187,
845,남자,4,1046,160,
846,남자,4,1080,175,
847,남자,4,1050,160,
848,남자,4,953.0511839,134,
849,남자,4,1065,190,
850,남자,4,960,150,
851,남자,4,1031,180,
852,남자,4,1067,170,
853,남자,4,1062,175,
854,남자,4,1026,170,
855,남자,4,1108,210,
856,남자,4,1036,150,
857,남자,4,1068,170,
858,남자,4,1082,180,
859,남자,4,1049,200.8048513,
860,남자,4,1014,165,
861,남자,4,1113,190,
862,남자,4,1064,180,
863,남자,4,1073,175,
864,남자,4,1015,155,
865,남자,4,1040,180,
866,남자,4,990,140,
867,남자,4,1066,210,
868,남자,4,1014,155,
869,남자,4,985,140,
870,남자,4,1002,155,
871,남자,4,1098,215.7046138,
872,남자,4,1074,175,
873,남자,4,1016,160,
874,남자,4,1000,135,
875,남자,4,1057,190,
876,남자,4,1146,231.9852928,
877,남자,4,1036,160,
878,남자,4,1050,150,
879,남자,4,1040,170,
880,남자,4,1047,165,
881,남자,5,1136,215,
882,남자,5,1128.752048,270.79471,
883,남자,5,1077,175,
884,남자,5,1141,250,
885,남자,5,983,175,
886,남자,5,1081,230,
887,남자,5,1014,165,
888,남자,5,1095,180,
889,남자,5,1117,200,
890,남자,5,1128,200,
891,남자,5,1132.738927,230,
892,남자,5,1164.872079,220,
893,남자,5,998,216,
894,남자,5,1168.006077,205,
895,남자,5,1229.234655,200,
896,남자,5,1181.358169,220,
897,남자,5,1142,200,
898,남자,5,1088,200,
899,남자,5,1127.568936,260,
900,남자,5,1005,155,
901,남자,5,1196.02652,190,
902,남자,5,1041,160,
903,남자,5,1037,170,
904,남자,5,1102,175,
905,남자,5,1137,205,
906,남자,5,1134.423966,275,
907,남자,5,1048,170,
908,남자,5,1211.293135,235,
909,남자,5,1133,170,
910,남자,5,1056,170,
911,남자,5,1110,165,
912,남자,5,1124,180,
913,남자,5,1153.802889,225,
914,남자,5,1207.45351,250,
915,남자,5,1182.132035,220,
916,남자,5,1081,170,
917,남자,5,1109,185,
918,남자,5,1070,160,
919,남자,5,1113,182,
920,남자,5,1146.143946,205,
921,남자,5,1072,170,
922,남자,5,1104,200,
923,남자,5,1114,200,
924,남자,5,1118,190,
